Hostname,IP,Set,Stripe
tjscssb1301,172.16.76.13,2,1
tjscssc1403,172.16.76.33,2,1
tjscssb0701,172.16.77.9,2,1
tjscssc0902,172.16.77.26,2,1
tjscssc0603,172.16.77.45,2,1
tjscssc0401,172.16.78.19,2,1
tjscssc0101,172.16.78.37,2,1
tjscssb0101,172.16.79.9,2,1
tjscssd0402,172.16.79.32,2,1
hzscssa1501,172.20.75.1,2,1
hzscssa1905,172.20.75.21,2,1
hzscssb0601,172.20.76.1,2,1
hzscssb1001,172.20.76.21,2,1
hzscssb1501,172.20.76.41,2,1
hzscssb1905,172.20.79.5,2,1
hzscssc0301,172.20.77.1,2,1
hzscssc0603,172.20.77.21,2,1
hzscssc0905,172.20.77.41,2,1
hzscssc1301,172.20.78.13,2,1
hzscssc1603,172.20.78.33,2,1
hzscssc1905,172.20.79.29,2,1
njscss4k0102,172.18.75.2,2,2
njscss4k0404,172.18.75.22,2,2
njscss4l0306,172.18.75.42,2,2
njscss4l0702,172.18.76.14,2,2
njscss4l1004,172.18.76.34,2,2
njscss4l1306,172.18.77.6,2,2
njscss4m1802,172.18.78.2,2,2
njscss4n0802,172.18.78.22,2,2
njscss4n1302,172.18.78.42,2,2
njscss4p0502,172.18.79.14,2,2
njscss4p0804,172.18.79.34,2,2
njscss4p1106,172.18.77.30,2,2
tjscssa0401,172.16.75.1,2,2
tjscssd1203,172.16.75.21,2,2
tjscssd0802,172.16.75.44,2,2
tjscssb1302,172.16.76.14,2,2
tjscssc1404,172.16.76.34,2,2
tjscssb0801,172.16.77.5,2,2
tjscssc0903,172.16.77.27,2,2
tjscssc0604,172.16.77.46,2,2
tjscssc0402,172.16.78.20,2,2
tjscssc0102,172.16.78.38,2,2
tjscssb0102,172.16.79.10,2,2
tjscssd0403,172.16.79.33,2,2
hzscssa1502,172.20.75.2,2,2
hzscssa1906,172.20.75.22,2,2
hzscssb0602,172.20.76.2,2,2
hzscssb1002,172.20.76.22,2,2
hzscssb1502,172.20.76.42,2,2
hzscssb1906,172.20.79.6,2,2
hzscssc0302,172.20.77.2,2,2
hzscssc0604,172.20.77.22,2,2
hzscssc0906,172.20.77.42,2,2
hzscssc1302,172.20.78.14,2,2
hzscssc1604,172.20.78.34,2,2
hzscssc1906,172.20.79.30,2,2
njscss4k0103,172.18.75.3,2,3
njscss4k0405,172.18.75.23,2,3
njscss4l0401,172.18.75.43,2,3
njscss4l0703,172.18.76.15,2,3
njscss4l1005,172.18.76.35,2,3
njscss4l1401,172.18.77.7,2,3
njscss4m1803,172.18.78.3,2,3
njscss4n0803,172.18.78.23,2,3
njscss4n1303,172.18.78.43,2,3
